,date,floe_id,x_stere,y_stere,longitude,latitude,area,perimeter,major_axis,minor_axis,zeta,zeta_est,u,v,bearing,speed
3119,2009-06-01 12:00:00,2009_04356,823685.72517,-1833264.3507,-20.80561,71.60031,559.55137,95.1036975,35.9909325,20.370415,0.018283825517496355,0.023583302822174655,0.014815137486271598,-0.08147272607133456,169.69385020276508,0.08280877605804743
3121,2009-06-01 12:00:00,2009_04361,788334.64085,-1718500.21062,-20.35747,72.67439,338.47688375,72.66511,27.2566975,16.05341,-0.41717329223270705,-0.4026045505492166,-0.06320740540259308,-0.16273235411808581,201.2268305130312,0.17457661691802207
3123,2009-06-01 12:00:00,2009_04374,738818.94964,-1242664.9513,-14.26666,76.71175,96.258561875,38.359405,14.6224225,8.6061825,0.1622450975336066,0.18205569216192075,0.021012064624466285,-0.046056845507758674,155.47656896454106,0.050623511117941014
3125,2009-06-01 12:00:00,2009_04377,702789.77353,-1206457.70513,-14.77821,77.16282,86.80993125,37.03335,12.2865275,9.65324,-0.527240220990639,-0.6724113696281084,0.04330213901997737,-0.08920972568162383,154.1081998253312,0.09916375547495174
3127,2009-06-01 12:00:00,2009_04379,846539.13401,-1446902.38683,-14.66937,74.61451,79.521404375,34.0751375,12.5239,8.2820075,0.11138889402561143,0.052676221317687386,-0.13045039606888237,-0.15551171516008977,219.9914746381122,0.20298078575707892
3129,2009-06-01 12:00:00,2009_04380,585570.2174,-879703.13773,-11.35046,80.26715,74.029965625,33.8915075,13.8571225,7.0529975,0.3974230685948484,0.4030198936784417,0.014872518158220173,0.018427471555747938,38.90644559359538,0.023680445610344585
3130,2009-06-02 12:00:00,2009_04380,585757.67466,-877665.75291,-11.28069,80.28174,73.093106875,34.53702,14.178865,6.87099,0.41978411126186876,0.41870369047086897,-0.007086075633144332,-0.0017263344961951964,256.30812501832884,0.007293332480519133
3132,2009-06-01 12:00:00,2009_04381,686236.73389,-1269448.26103,-16.60529,76.73588,70.0625,33.8858625,14.504025,6.3538475,-0.6742426573494269,-0.6456052750941301,0.010875546476700259,-0.02128409790118939,152.93430714927626,0.023901680581797632
3134,2009-06-01 12:00:00,2009_04382,647578.99596,-903250.77228,-9.36164,79.7665,69.26369875,30.4542525,9.92519,9.10605,-0.16132192693477854,,0.009998947144326599,-0.03960572061076606,165.83105872027033,0.04084840326246666
3136,2009-06-01 12:00:00,2009_04386,638331.5312,-1157238.86505,-16.11893,77.84376,61.567636875,37.0056575,16.9508225,5.0032,-0.2898376019968111,-0.2921422528188291,-0.051815842130015013,0.014909651656527925,286.05280831497464,0.053918264142697
3138,2009-06-01 12:00:00,2009_04389,739386.98418,-1071901.02196,-10.40245,78.02129,55.678938125,28.56224,10.327835,7.373045,0.49705333691660497,0.49203518215788644,-0.12811682085101114,-0.08249678215302667,237.22176840674226,0.15237991616539898
3139,2009-06-02 12:00:00,2009_04389,734322.35624,-1084053.52043,-10.88681,77.95576,51.391013125,27.6799775,10.0355925,6.9884175,0.4949230231744248,0.5073663523203685,-0.1222100159381436,-0.11067796271948052,227.83483387144258,0.1648784383336282
3141,2009-06-01 12:00:00,2009_04399,871915.02552,-1565588.99376,-15.88549,73.56648,46.416095625,25.53491,9.0279125,6.8307675,-0.5715928626623137,-0.4943653693548776,-0.08755561629055328,-0.06733769776074146,232.4366609914588,0.11045520125252394
3143,2009-06-01 12:00:00,2009_04400,629573.76666,-833459.67422,-7.93361,80.37951,45.83476,27.23222,11.26208,5.458935,0.27386346547248847,,0.2332912032847006,-0.06050125896516567,104.53867889006312,0.24100868836287528
3145,2009-06-01 12:00:00,2009_04405,763659.50631,-1688480.70472,-20.66389,73.0136,40.666951875,25.3011775,10.2993425,5.24439,0.05943060150693932,0.027347547642131827,0.05588957923083504,-0.045208791097332474,128.96921615304137,0.0718851852545574
3146,2009-06-02 12:00:00,2009_04405,769668.92607,-1690049.75048,-20.51492,72.97824,38.17689875,23.737775,9.75475,5.14696,0.014414744725804786,-0.006886524588608917,0.059281923022303736,-0.03833396486621022,122.88825818151156,0.07059631194039945
3148,2009-06-01 12:00:00,2009_04414,826073.21025,-1804797.13809,-20.40597,71.82495,34.73887,21.5389925,8.29922,5.4136,0.10020783311976808,0.1172172691243414,0.10681388071808498,-0.10891896614841809,135.55906499445734,0.15255342113796574
3150,2009-06-01 12:00:00,2009_04416,560415.98563,-913754.98984,-13.47875,80.1283,32.368150625,21.213425,8.4938725,4.930985,-0.050284323793580506,,0.004693416725465552,0.011827830394123159,21.64373720929848,0.012725004219685877
3152,2009-06-01 12:00:00,2009_04426,684234.11865,-697753.62184,-0.5605,80.99647,28.10017125,19.3821025,7.288285,5.07327,-0.04640110655140953,,0.022500097326049878,-0.08818940768793518,165.68725110633358,0.09101442747186052
3154,2009-06-01 12:00:00,2009_04428,739802.05253,-1184562.66875,-13.01374,77.15942,26.52311625,19.0189925,7.145135,4.9479975,-0.31789293762245796,-0.22484448630983575,-0.009843969131572743,0.0035041274331823096,289.5940476398739,0.010449049589859255
3156,2009-06-01 12:00:00,2009_04431,658845.98816,-851328.26896,-7.26357,80.08639,25.190924375,19.57361,8.209685,3.979365,0.2941759117358662,,-0.06725419849743863,-0.010088479765021151,261.46894278454477,0.06800665143573913
3158,2009-06-03 12:00:00,2009_04580,670827.93438,-979815.85799,-10.60264,79.0702,864.41878125,120.4596875,44.33025,26.9405625,-0.11476531493799583,,-0.02968080205168177,-0.026539467925547212,228.1981032632332,0.03981574271820464
3159,2009-06-04 12:00:00,2009_04580,670007.31758,-983156.62731,-10.72612,79.04918,824.560725625,145.72765,44.1661175,26.950715,0.0028023499408040956,0.008141039308566704,-0.009187663076374697,-0.0067269743280021065,233.789355948413,0.011387068824529794
